city,state,dispatch_health_service_area_zip
Worcester,MA,1420
Worcester,MA,1453
Boston,MA,1460
Worcester,MA,1462
Worcester,MA,1501
Worcester,MA,1503
Worcester,MA,1505
Worcester,MA,1507
Worcester,MA,1510
Worcester,MA,1516
Worcester,MA,1519
Worcester,MA,1520
Worcester,MA,1522
Worcester,MA,1523
Worcester,MA,1524
Worcester,MA,1527
Worcester,MA,1532
Worcester,MA,1534
Worcester,MA,1536
Worcester,MA,1537
Worcester,MA,1540
Worcester,MA,1541
Worcester,MA,1542
Worcester,MA,1543
Worcester,MA,1545
Worcester,MA,1550
Worcester,MA,1560
Worcester,MA,1562
Worcester,MA,1564
Worcester,MA,1568
Worcester,MA,1569
Worcester,MA,1570
Worcester,MA,1571
Worcester,MA,1581
Worcester,MA,1583
Worcester,MA,1588
Worcester,MA,1590
Worcester,MA,1602
Worcester,MA,1603
Worcester,MA,1604
Worcester,MA,1605
Worcester,MA,1606
Worcester,MA,1607
Worcester,MA,1608
Worcester,MA,1609
Worcester,MA,1610
Worcester,MA,1611
Worcester,MA,1612
Worcester,MA,1701
Worcester,MA,1702
Worcester,MA,1703
Worcester,MA,1704
Worcester,MA,1705
Boston,MA,1718
Boston,MA,1719
Boston,MA,1720
Worcester,MA,1721
Boston,MA,1730
Boston,MA,1741
Boston,MA,1742
Worcester,MA,1746
Worcester,MA,1747
Worcester,MA,1748
Worcester,MA,1749
Worcester,MA,1752
Boston,MA,1754
Worcester,MA,1757
Boston,MA,1760
Boston,MA,1770
Worcester,MA,1772
Boston,MA,1773
Boston,MA,1776
Boston,MA,1778
Boston,MA,1801
Boston,MA,1803
Boston,MA,1805
Boston,MA,1813
Boston,MA,1815
Boston,MA,1821
Boston,MA,1822
Boston,MA,1824
Boston,MA,1850
Boston,MA,1851
Boston,MA,1852
Boston,MA,1853
Boston,MA,1854
Boston,MA,1862
Boston,MA,1863
Boston,MA,1864
Boston,MA,1867
Boston,MA,1876
Boston,MA,1880
Boston,MA,1886
Boston,MA,1887
Boston,MA,1888
Boston,MA,1889
Boston,MA,1901
Boston,MA,1902
Boston,MA,1903
Boston,MA,1904
Boston,MA,1905
Boston,MA,1907
Boston,MA,1910
Boston,MA,1915
Boston,MA,1923
Boston,MA,1940
Boston,MA,1945
Boston,MA,1960
Boston,MA,1961
Boston,MA,1970
Boston,MA,2026
Boston,MA,2027
Boston,MA,2030
Boston,MA,2032
Boston,MA,2052
Boston,MA,2054
Boston,MA,2056
Boston,MA,2062
Boston,MA,2067
Boston,MA,2071
Boston,MA,2081
Boston,MA,2090
Boston,MA,2132
Boston,MA,2176
Boston,MA,2180
Boston,MA,2420
Boston,MA,2421
Boston,MA,2451
Boston,MA,2452
Boston,MA,2453
Boston,MA,2454
Boston,MA,2455
Boston,MA,2458
Boston,MA,2459
Boston,MA,2460
Boston,MA,2461
Boston,MA,2462
Boston,MA,2464
Boston,MA,2465
Boston,MA,2466
Boston,MA,2467
Boston,MA,2468
Boston,MA,2481
Boston,MA,2482
Boston,MA,2492
Boston,MA,2493
Boston,MA,2494
Boston,MA,2495
Ridgewood,NJ,7010
Ridgewood,NJ,7011
Ridgewood,NJ,7012
Ridgewood,NJ,7013
Ridgewood,NJ,7014
Ridgewood,NJ,7015
Ridgewood,NJ,7022
Ridgewood,NJ,7024
Ridgewood,NJ,7026
Ridgewood,NJ,7031
Ridgewood,NJ,7047
Ridgewood,NJ,7055
Ridgewood,NJ,7057
Ridgewood,NJ,7070
Ridgewood,NJ,7071
Ridgewood,NJ,7072
Ridgewood,NJ,7073
Ridgewood,NJ,7074
Ridgewood,NJ,7075
Ridgewood,NJ,7401
Ridgewood,NJ,7403
Ridgewood,NJ,7407
Ridgewood,NJ,7410
Ridgewood,NJ,7417
Ridgewood,NJ,7420
Ridgewood,NJ,7421
Ridgewood,NJ,7423
Ridgewood,NJ,7424
Ridgewood,NJ,7430
Ridgewood,NJ,7432
Ridgewood,NJ,7435
Ridgewood,NJ,7436
Ridgewood,NJ,7442
Ridgewood,NJ,7446
Ridgewood,NJ,7450
Ridgewood,NJ,7451
Ridgewood,NJ,7452
Ridgewood,NJ,7456
Ridgewood,NJ,7457
Ridgewood,NJ,7458
