MEASURE_ID,MEASURE_NM,DOMAIN,FORECAST_WEIGHT,STAR_5_FORECAST,STAR_4_FORECAST,STAR_3_FORECAST,STAR_2_FORECAST
101803,Controlling High Blood Pressure,HEDIS,3,0.85,0.8,0.85,0.69
104201,Osteoporosis Management in Women who had a Fracture,HEDIS,1,0.72,0.54,0.72,0.32
107125,Care for Older Adults - Medication Review,HEDIS,1,0.99,0.93,0.99,0.56
107126,Care for Older Adults - Functional Status Assessment,HEDIS,1,0.95,0.82,0.95,0.5
107127,Care for Older Adults - Pain Assessment,HEDIS,0,0.97,0.93,0.97,0.63
201180,Medication Adherence for Cholesterol (Statins),PatientSafety,3,0.94,0.9,0.94,0.82
201181,Medication Adherence for Hypertension (RAS antagonists),PatientSafety,3,0.93,0.9,0.93,0.84
201182,Medication Adherence for Diabetes Medications,PatientSafety,3,0.91,0.87,0.91,0.8
201183,Statin Use in Persons with Diabetes,PatientSafety,1,0.93,0.9,0.93,0.82
201184,MTM Program Completion Rate for CMR,PatientSafety,0,0.94,0.9,0.94,0.62
201185,Polypharmacy Anticholinergics,PatientSafety,1,0.05,0.07,0.05,0.16
201187,Concurrent Opioid and Benzos,PatientSafety,1,0.07,0.11,0.07,0.23
201507,Statin Therapy for Patients with Cardiovascular Disease,HEDIS,1,0.92,0.88,0.92,0.81
600070,Transitions of Care - Medication Reconciliation Post-Discharge,HEDIS,1,0.89,0.75,0.89,0.44
600094,Follow-up after ED Visit (FMC),HEDIS,1,0.7,0.62,0.7,0.46
600452,Colorectal Cancer Screening,HEDIS,1,0.83,0.75,0.83,0.53
600454,Breast Cancer Screening,HEDIS,1,0.83,0.76,0.83,0.54
600484,Kidney Health Evaluation for Patients with Diabetes,HEDIS,1,0.68,0.51,0.68,0.26
900793,Diabetes Care - Eye Exam,HEDIS,1,0.83,0.78,0.83,0.59
999600,Transitions of Care (Part C) - Average,HEDIS,1,0.78,0.65,0.78,0.47
999998,Diabetes Care - Blood Sugar Controlled,HEDIS,3,0.91,0.85,0.91,0.52
